label_idx,label,threshold,TP,FP,FN,TN,precision,recall,f1_from_confusion
0,Atelectasis,0.53,1585,15717,0,2,0.0916,1.0,0.1678
1,Cardiomegaly,0.44,53,1604,300,15347,0.032,0.1501,0.0527
2,Consolidation,0.59,566,16730,0,8,0.0327,1.0,0.0634
3,Edema,0.44,182,4412,113,12597,0.0396,0.6169,0.0745
4,Effusion,0.43,1590,13754,137,1823,0.1036,0.9207,0.1863
5,Emphysema,0.44,271,16785,3,245,0.0159,0.9891,0.0313
6,Fibrosis,0.52,88,5708,163,11345,0.0152,0.3506,0.0291
7,Hernia,0.51,19,17095,0,190,0.0011,1.0,0.0022
8,Infiltration,0.0,2840,14464,0,0,0.1641,1.0,0.282
9,Mass,0.0,827,16477,0,0,0.0478,1.0,0.0912
10,No Finding,0.0,10084,7220,0,0,0.5828,1.0,0.7364
11,Nodule,0.0,911,16393,0,0,0.0526,1.0,0.1
12,Pleural_Thickening,0.0,431,16873,0,0,0.0249,1.0,0.0486
13,Pneumonia,0.0,188,17116,0,0,0.0109,1.0,0.0215
14,Pneumothorax,0.54,518,15716,19,1051,0.0319,0.9646,0.0618
